year,university,admissions
2012,University of Exeter,4355
2012,Falmouth University,1445
2012,University of Gloucestershire,2215
2012,"Goldsmiths, University of London",1800
2012,University of Greenwich,4035
2012,Harper Adams University,790
2012,University of Hertfordshire,4730
2012,Heythrop College,150
2012,University of Huddersfield,4960
2012,University of Hull,4355
2012,Imperial College London,2225
2012,University of Keele,2025
2012,University of Kent,4940
2012,"King's College London, University of London",4330
2012,Kingston University,6210
2012,Lancaster University,2780
2012,Leeds City College,315
2012,University of Leeds,6430
2012,Leeds Trinity University,870
2012,Leeds Beckett University,6265
2012,Leeds Arts University,395
2012,Leeds College of Music,360
2012,University of Leicester,3115
2012,University of Lincoln,3135
2012,University of Liverpool,3945
2012,Liverpool Hope University,1475
2012,Liverpool Institute for Performing Arts,220
2012,Liverpool John Moores University,5475
2012,London College,150
2012,London Metropolitan University,4080
2012,London School of Economics and Political Science,1415
2012,London South Bank University,3740
2012,Loughborough University,3360
2012,University of Manchester,7860
2012,Middlesex University,4140
2012,Newman University,535
2012,University of Northampton,3015
2012,Norwich University of the Arts,635
2012,Northumbria University,5715
2012,University of Nottingham,7160
2012,University of Oxford,3280
2012,Oxford Brookes University,3810
2012,University of Plymouth,5175
2012,Plymouth College of Art,380
2012,University of Portsmouth,5290
2012,Ravensbourne,810
2012,University of Reading,2945
2012,Royal Agricultural University,315
2012,"Royal Holloway, University of London",2375
2012,University of Salford,3955
2012,University of Sheffield,4710
2012,Sheffield Hallam University,7425
2012,University of Southampton,4500
2012,Southampton Solent University,3810
2012,"St George's, University of London",655
2012,St Mary's University,1245
2012,University of Sunderland,2505
2012,University of Surrey,2105
2012,University of Sussex,3220
2012,Teesside University,3425
2012,University of the Arts London,4305
2012,University College London,4395
2012,University of West London,2395
2012,University of Warwick,3830
2012,University of Westminster,4505
2012,University of Wolverhampton,4585
2012,University of Winchester,1915
2012,University of Worcester,2680
2012,Writtle University College,295
2012,University of York,3750
2012,York St John University,1640
2013,Anglia Ruskin University,4160
2013,Arts University Bournemouth,1060
2013,Aston University,2510
2013,University of Bath,3080
2013,Bath Spa University,1945
2013,University of Bedfordshire,3220
2013,Bedford College Group,215
2013,"Birkbeck, University of London",1155
2013,Birmingham City University,6095
2013,Birmingham Metropolitan College,75
2013,University of Birmingham,5890
2013,University College Birmingham,1430
2013,Bishop Grosseteste University,640
2013,University of Bolton,1250
2013,Bournemouth University,4270
2013,University of Bradford,2870
2013,University of Brighton,4890
2013,University of Bristol,4810
2013,University of the West of England,6795
2013,Brunel University,2950
2013,University of Buckingham,160
2013,Buckinghamshire New University,2315
2013,University of Cambridge,3355
2013,Canterbury Christ Church University,3745
2013,University of Central Lancashire,5780
2013,University of Chester,3190
2013,University of Chichester,1515
2013,"City, University of London",3080
2013,City and Islington College,80
2013,"Courtauld Institute of Art, University of London",50
2013,Coventry University,5885
2013,University of Cumbria,1915
2013,De Montfort University,4840
2013,University of Derby,3170
2013,University of Durham,4165
2013,University of East Anglia,3440
2013,University of East London,4255
2013,Edge Hill University,3570
2013,University of Essex,3135
2013,University of Exeter,5505
2013,Falmouth University,1425
2013,University of Gloucestershire,2105
2013,"Goldsmiths, University of London",1895
2013,University of Greenwich,4950
2013,Harper Adams University,695
2013,University of Hertfordshire,4905
2013,Heythrop College,150
2013,University of Huddersfield,4385
2013,University of Hull,4315
2013,Imperial College London,2425
2013,University of Keele,2060
2013,University of Kent,5190
2013,"King's College London, University of London",4435
2013,Kingston University,6005
2013,Lancaster University,3060
2013,Leeds City College,190
2013,University of Leeds,6810
2013,Leeds Trinity University,1020
2013,Leeds Beckett University,7345
2013,Leeds Arts University,420
2013,Leeds College of Music,370
2013,University of Leicester,3250
2013,University of Lincoln,3440
2013,University of Liverpool,4285
2013,Liverpool Hope University,1360
2013,Liverpool Institute for Performing Arts,215
2013,Liverpool John Moores University,6315
2013,London College,600
2013,London Metropolitan University,4295
2013,London School of Economics and Political Science,1430
2013,London South Bank University,3655
2013,Loughborough University,4125
2013,University of Manchester,8605
2013,Middlesex University,4350
2013,Newman University,675
2013,University of Northampton,3190
2013,Norwich University of the Arts,645
2013,Northumbria University,6370
2013,University of Nottingham,6995
2013,University of Oxford,3225
2013,Oxford Brookes University,4655
2013,University of Plymouth,5360
2013,Plymouth College of Art,385
2013,University of Portsmouth,5240
2013,Ravensbourne,835
2013,University of Reading,3150
2013,Royal Agricultural University,335
2013,"Royal Holloway, University of London",2295
2013,University of Salford,4410
2013,University of Sheffield,5425
2013,Sheffield Hallam University,7465
2013,University of Southampton,5480
2013,Southampton Solent University,3535
2013,"St George's, University of London",640
2013,St Mary's University,1305
2013,University of Sunderland,2810
2013,University of Surrey,2800
2013,University of Sussex,3545
2013,Teesside University,3545
2013,University of the Arts London,4335
2013,University College London,4900
2013,University of West London,2625
2013,University of Warwick,4305
2013,University of Westminster,5235
2013,University of Wolverhampton,4285
2013,University of Winchester,2100
2013,University of Worcester,2955
2013,Writtle University College,290
2013,University of York,4045
2013,York St John University,1870
2014,Anglia Ruskin University,4415
2014,Arts University Bournemouth,1020
2014,Aston University,2655
2014,University of Bath,3395
2014,Bath Spa University,2115
2014,University of Bedfordshire,3220
2014,Bedford College Group,195
2014,"Birkbeck, University of London",1340
2014,Birmingham City University,6215
2014,Birmingham Metropolitan College,110
2014,University of Birmingham,6325
2014,University College Birmingham,1480
2014,Bishop Grosseteste University,725
2014,University of Bolton,1605
2014,Bournemouth University,4505
2014,University of Bradford,2550
2014,University of Brighton,5435
2014,University of Bristol,5165
2014,University of the West of England,6370
2014,Brunel University,2840
2014,University of Buckingham,105
2014,Buckinghamshire New University,2410
2014,University of Cambridge,3425
2014,Canterbury Christ Church University,3775
2014,University of Central Lancashire,6640
2014,University of Chester,3555
2014,University of Chichester,1575
2014,"City, University of London",3255
2014,City and Islington College,60
2014,"Courtauld Institute of Art, University of London",55
2014,Coventry University,6465
2014,University of Cumbria,1895
2014,De Montfort University,5200
2014,University of Derby,3615
2014,University of Durham,4175
2014,University of East Anglia,3280
2014,University of East London,4360
2014,Edge Hill University,3825
2014,University of Essex,3765
2014,University of Exeter,5820
2014,Falmouth University,1735
2014,University of Gloucestershire,2300
2014,"Goldsmiths, University of London",2100
2014,University of Greenwich,4950
2014,Harper Adams University,660
2014,University of Hertfordshire,5405
2014,Heythrop College,130
2014,University of Huddersfield,4530
2014,University of Hull,3895
2014,Imperial College London,2515
2014,University of Keele,2270
2014,University of Kent,5215
2014,"King's College London, University of London",5035
2014,Kingston University,6410
2014,Lancaster University,2910
2014,Leeds City College,215
2014,University of Leeds,6985
2014,Leeds Trinity University,995
2014,Leeds Beckett University,7560
2014,Leeds Arts University,450
2014,Leeds College of Music,400
2014,University of Leicester,3395
2014,University of Lincoln,3385
2014,University of Liverpool,4895
2014,Liverpool Hope University,1475
2014,Liverpool Institute for Performing Arts,190
2014,Liverpool John Moores University,6620
2014,London College,50
2014,London Metropolitan University,3995
2014,London School of Economics and Political Science,1685
2014,London School of Business and Management,235
2014,London South Bank University,3880
2014,Loughborough University,3530
2014,University of Manchester,9040
2014,Middlesex University,3970
2014,Newman University,725
2014,University of Northampton,3355
2014,Norwich University of the Arts,725
2014,Northumbria University,5850
2014,University of Nottingham,6755
2014,University of Oxford,3190
2014,Oxford Brookes University,4265
2014,University of Plymouth,5540
2014,Plymouth College of Art,420
2014,University of Portsmouth,5755
2014,Ravensbourne,825
2014,University of Reading,3560
2014,Royal Agricultural University,380
